day_position,STATE_VALUE_PLUS_E_minus_E,F_minus_STATE_VALUE_PLUS_E,BETA_ONLY_minus_H,BETA_RELIABILITY_minus_BETA_ONLY,E_minus_BETA_RELIABILITY,F_minus_E,E_minus_H,F_minus_H,decile_STATE_VALUE_PLUS_E_minus_E,decile_F_minus_STATE_VALUE_PLUS_E,decile_BETA_ONLY_minus_H,decile_BETA_RELIABILITY_minus_BETA_ONLY,decile_E_minus_BETA_RELIABILITY,decile_F_minus_E,decile_E_minus_H,decile_F_minus_H,top30_STATE_VALUE_PLUS_E_minus_E,top30_F_minus_STATE_VALUE_PLUS_E,top30_BETA_ONLY_minus_H,top30_BETA_RELIABILITY_minus_BETA_ONLY,top30_E_minus_BETA_RELIABILITY,top30_F_minus_E,top30_E_minus_H,top30_F_minus_H
2680,0.00087575354129755,-0.0010910780820129,0.00029453056708110027,0.013674237660439351,0.005763768339641651,-0.0002153245407154,0.0197325365671621,0.01951721202644675,0.015856689528752452,-0.00711019428236865,0.0061641390222624505,-0.00240702236073585,-0.00766900735388105,0.00874649524638375,-0.0039118906923544,0.0048346045540293,0.0005541247519432,-0.00455704343524605,-0.0078978121979162,0.00914521718902195,0.0020915654856556,-0.004002918683302901,0.0033389704767614503,-0.0006639482065414004
2685,-0.05450671621439865,0.030016654448393448,0.0935122419950634,-0.025752688490361997,-0.0104492639468899,-0.02449006176600515,0.05731028955781135,0.032820227791806156,-0.013543706716980599,0.0075542242972595,0.0340645123029291,-0.029443985443189352,0.00557745602737,-0.00598948241972105,0.0101979828871097,0.0042085004673887,0.0302674223591263,0.0038087028777227007,-0.011532957875169749,-0.02714666811128455,0.02321960806536175,0.03407612523684895,-0.0154600179210926,0.01861610731575635
2690,-0.0257192091615842,0.009924087813511,0.056833751317637,-0.00844540186334925,-0.0037757835722795506,-0.01579512134807315,0.044612565882008154,0.02881744453393495,-0.005928772118523999,0.003262303950525,0.0198318384030018,-0.0075741609193057495,0.0013016514993203485,-0.002666468167999,0.013559328983016351,0.0108928608150173,0.01156112415774255,0.00310164294205605,-0.00690860128864485,-0.017153146676719147,-0.0044897420642276,0.014662767099798649,-0.0285514900295917,-0.01388872292979305
2695,-0.12408878957441685,0.1285161176419667,0.03037774042392705,-0.0063422426435377,-0.0056581690190481496,0.0044273280675498,0.0183773287613411,0.0228046568288909,-0.0476336567967553,0.048438885033690496,0.0064209852728433995,-0.0132873577389757,0.0059405560612157005,0.0008052282369351725,-0.0009258164049165499,-0.00012058816798135,-0.0278162638495473,0.030884025870056953,-0.01560806027070305,-0.0011117668822407999,0.0023819030572970502,0.0030677620205096998,-0.01433792409564675,-0.01127016207513705
2700,0.01304513348066995,-0.0052164915147082,-0.013197414391838351,-0.01590155072588895,0.02079417996019545,0.00782864196596175,-0.00830478515753195,-0.00047614319157015,0.00922481307915635,-0.0058875567050967,-0.0093902553959562,-0.00372960631636765,0.0034880949591675004,0.0033372563740596,-0.0096317667531563,-0.00629451037909665,-0.01562469746374215,0.0041163303190842,-0.0257708678565298,0.04073185892775645,-0.025985372404102147,-0.01150836714465785,-0.011024381332875501,-0.02253274847753345
2705,0.018749129340474298,-5.1982841221399944e-05,-0.039106769687662246,-0.02686970430843645,0.01766954447421265,0.0186971464992529,-0.04830692952188605,-0.0296097830226331,0.0025001140026449,-0.00237857217174395,0.0006821866202364,-0.010920215600574549,0.0050600489453676,0.0001215418309010001,-0.0051779800349705,-0.0050564382040695,-0.00283620873621355,0.01180772391768795,-0.02806384462552765,0.0226966117275878,-0.0175933100050315,0.00897151518147435,-0.02296054290297125,-0.01398902772149695
2710,-0.0367774534207216,0.08242002877780036,0.0953070251567269,-0.0306166841864883,-0.00511686717573345,0.0456425753570787,0.0595734737945051,0.10521604915158381,0.006555878397721499,0.034577840435502,0.05105110769744575,-0.0220535644737236,0.0043480977207335,0.041133718833223504,0.03334564094445565,0.07447935977767925,-0.027152969731832798,0.06921723077442335,0.0487765311467228,-0.010721311388382001,0.0048568558723976,0.0420642610425905,0.042912075630738344,0.08497633667332895
2715,0.0255889925486633,0.0539606777188372,0.0843487709904987,-0.02942218676793055,-0.0015158639824278002,0.07954967026750055,0.05341072024014025,0.1329603905076409,0.020423454850224,0.015553466197683802,0.03643762179395145,-0.011020904851447449,0.0104528066198466,0.03597692104790785,0.0358695235623506,0.07184644461025849,0.01170404997149795,0.05691818394892225,0.0112144632264971,-0.0055703781777992996,0.01316118590378515,0.06862223392042015,0.018805270952482953,0.0874275048729032
2720,0.008141609729564101,0.08458874147150974,0.13144993084509005,-0.0065615928560918,-0.0278866273752153,0.0927303512010739,0.09700171061378285,0.18973206181485675,0.01931410811864885,0.0240319639626775,0.04947422919002805,-0.007409721717193949,-0.0019500023888972002,0.0433460720813264,0.0401145050839368,0.08346057716526326,0.03865800541025235,0.02538120825023115,0.11711110098597899,-0.027374107336315,-0.01845321525664375,0.06403921366048354,0.07128377839302014,0.13532299205350373
2725,-0.018866820328183848,0.04125084064161885,0.131996447633111,-0.02321392440368305,-0.0135505927069631,0.02238402031343495,0.09523193052246476,0.11761595083589975,0.00723221095688935,0.01647311523963255,0.0648875449845308,-0.0152168189329647,-0.0156347496860464,0.02370532619652195,0.034035976365519596,0.05774130256204155,0.0153496785710255,0.040676884430771054,0.024067437105501653,-0.00526940571144225,-0.01581550847428535,0.05602656300179655,0.002982522919774023,0.05900908592157065
